Producto base;Descripción diseño;ID ensayo;Nombre formulación;Fecha ensayo;Resultado;Materia prima;% peso;Motivo / comentario;Producto final;Fórmula OK;Riquezas;Spec_Descripcion;Spec_Aspecto;Spec_Color;Spec_Densidad;Spec_pH;Spec_Quimica;Validacion_JSON;Fecha_Validacion
FOLICAT ZNMO - MN;Formulación nutricional con microelementos (Zn-Mo-Mn) quelados, diseñada para estabilidad y compatibilidad en suspensión.;ID-6;CALIDAD - ID.2025.23 FOLICAT Zn Mo Mn MUESTRA ORIGINAL (F-ORIGI);11/03/2025;OK NO LIBERADO;AGUA INICIAL;52,58;"EDTA Zn mínimo; incompatibilidades al mezclar EDTA y sulfato con formación de precipitado blanco, no liberado.";FOLICAT ZNMO - MN;ID-74 || CALIDAD - ID.2025.41 FOLICAT Zn Mo Mn ORIGI F5;La formulación final ha logrado una solución líquida estable con el equilibrio previsto de zinc, molibdeno y manganeso. El ajuste del EDTA permitió mantener el Zn soluble y asegurar el nivel de nitrógeno dentro del rango de diseño. El producto cumple plenamente los criterios de calidad y comportamiento en estabilidad.;;;;;;;;
FOLICAT ZNMO - MN;Formulación nutricional con microelementos (Zn-Mo-Mn) quelados, diseñada para estabilidad y compatibilidad en suspensión.;ID-6;CALIDAD - ID.2025.23 FOLICAT Zn Mo Mn MUESTRA ORIGINAL (F-ORIGI);11/03/2025;OK NO LIBERADO;EDTA TETRASODICO;0,1;"EDTA Zn mínimo; incompatibilidades al mezclar EDTA y sulfato con formación de precipitado blanco, no liberado.";FOLICAT ZNMO - MN;ID-74 || CALIDAD - ID.2025.41 FOLICAT Zn Mo Mn ORIGI F5;La formulación final ha logrado una solución líquida estable con el equilibrio previsto de zinc, molibdeno y manganeso. El ajuste del EDTA permitió mantener el Zn soluble y asegurar el nivel de nitrógeno dentro del rango de diseño. El producto cumple plenamente los criterios de calidad y comportamiento en estabilidad.;;;;;;;;
FOLICAT ZNMO - MN;Formulación nutricional con microelementos (Zn-Mo-Mn) quelados, diseñada para estabilidad y compatibilidad en suspensión.;ID-6;CALIDAD - ID.2025.23 FOLICAT Zn Mo Mn MUESTRA ORIGINAL (F-ORIGI);11/03/2025;OK NO LIBERADO;CONSERVANTE KF78;0,1;"EDTA Zn mínimo; incompatibilidades al mezclar EDTA y sulfato con formación de precipitado blanco, no liberado.";FOLICAT ZNMO - MN;ID-74 || CALIDAD - ID.2025.41 FOLICAT Zn Mo Mn ORIGI F5;La formulación final ha logrado una solución líquida estable con el equilibrio previsto de zinc, molibdeno y manganeso. El ajuste del EDTA permitió mantener el Zn soluble y asegurar el nivel de nitrógeno dentro del rango de diseño. El producto cumple plenamente los criterios de calidad y comportamiento en estabilidad.;;;;;;;;
FOLICAT ZNMO - MN;Formulación nutricional con microelementos (Zn-Mo-Mn) quelados, diseñada para estabilidad y compatibilidad en suspensión.;ID-6;CALIDAD - ID.2025.23 FOLICAT Zn Mo Mn MUESTRA ORIGINAL (F-ORIGI);11/03/2025;OK NO LIBERADO;PROTE FOAM ESS;0,02;"EDTA Zn mínimo; incompatibilidades al mezclar EDTA y sulfato con formación de precipitado blanco, no liberado.";FOLICAT ZNMO - MN;ID-74 || CALIDAD - ID.2025.41 FOLICAT Zn Mo Mn ORIGI F5;La formulación final ha logrado una solución líquida estable con el equilibrio previsto de zinc, molibdeno y manganeso. El ajuste del EDTA permitió mantener el Zn soluble y asegurar el nivel de nitrógeno dentro del rango de diseño. El producto cumple plenamente los criterios de calidad y comportamiento en estabilidad.;;;;;;;;
FOLICAT ZNMO - MN;Formulación nutricional con microelementos (Zn-Mo-Mn) quelados, diseñada para estabilidad y compatibilidad en suspensión.;ID-6;CALIDAD - ID.2025.23 FOLICAT Zn Mo Mn MUESTRA ORIGINAL (F-ORIGI);11/03/2025;OK NO LIBERADO;MOLIBDATO SODICO 25KG;3,9;"EDTA Zn mínimo; incompatibilidades al mezclar EDTA y sulfato con formación de precipitado blanco, no liberado.";FOLICAT ZNMO - MN;ID-74 || CALIDAD - ID.2025.41 FOLICAT Zn Mo Mn ORIGI F5;La formulación final ha logrado una solución líquida estable con el equilibrio previsto de zinc, molibdeno y manganeso. El ajuste del EDTA permitió mantener el Zn soluble y asegurar el nivel de nitrógeno dentro del rango de diseño. El producto cumple plenamente los criterios de calidad y comportamiento en estabilidad.;;;;;;;;
FOLICAT ZNMO - MN;Formulación nutricional con microelementos (Zn-Mo-Mn) quelados, diseñada para estabilidad y compatibilidad en suspensión.;ID-6;CALIDAD - ID.2025.23 FOLICAT Zn Mo Mn MUESTRA ORIGINAL (F-ORIGI);11/03/2025;OK NO LIBERADO;GLUCONATO SODICO;3;"EDTA Zn mínimo; incompatibilidades al mezclar EDTA y sulfato con formación de precipitado blanco, no liberado.";FOLICAT ZNMO - MN;ID-74 || CALIDAD - ID.2025.41 FOLICAT Zn Mo Mn ORIGI F5;La formulación final ha logrado una solución líquida estable con el equilibrio previsto de zinc, molibdeno y manganeso. El ajuste del EDTA permitió mantener el Zn soluble y asegurar el nivel de nitrógeno dentro del rango de diseño. El producto cumple plenamente los criterios de calidad y comportamiento en estabilidad.;;;;;;;;
FOLICAT ZNMO - MN;Formulación nutricional con microelementos (Zn-Mo-Mn) quelados, diseñada para estabilidad y compatibilidad en suspensión.;ID-6;CALIDAD - ID.2025.23 FOLICAT Zn Mo Mn MUESTRA ORIGINAL (F-ORIGI);11/03/2025;OK NO LIBERADO;SULFATO DE ZINC MONOHIDRATADO;0;"EDTA Zn mínimo; incompatibilidades al mezclar EDTA y sulfato con formación de precipitado blanco, no liberado.";FOLICAT ZNMO - MN;ID-74 || CALIDAD - ID.2025.41 FOLICAT Zn Mo Mn ORIGI F5;La formulación final ha logrado una solución líquida estable con el equilibrio previsto de zinc, molibdeno y manganeso. El ajuste del EDTA permitió mantener el Zn soluble y asegurar el nivel de nitrógeno dentro del rango de diseño. El producto cumple plenamente los criterios de calidad y comportamiento en estabilidad.;;;;;;;;
FOLICAT ZNMO - MN;Formulación nutricional con microelementos (Zn-Mo-Mn) quelados, diseñada para estabilidad y compatibilidad en suspensión.;ID-6;CALIDAD - ID.2025.23 FOLICAT Zn Mo Mn MUESTRA ORIGINAL (F-ORIGI);11/03/2025;OK NO LIBERADO;EDTA DE ZINC (AMPERE);5;"EDTA Zn mínimo; incompatibilidades al mezclar EDTA y sulfato con formación de precipitado blanco, no liberado.";FOLICAT ZNMO - MN;ID-74 || CALIDAD - ID.2025.41 FOLICAT Zn Mo Mn ORIGI F5;La formulación final ha logrado una solución líquida estable con el equilibrio previsto de zinc, molibdeno y manganeso. El ajuste del EDTA permitió mantener el Zn soluble y asegurar el nivel de nitrógeno dentro del rango de diseño. El producto cumple plenamente los criterios de calidad y comportamiento en estabilidad.;;;;;;;;
FOLICAT ZNMO - MN;Formulación nutricional con microelementos (Zn-Mo-Mn) quelados, diseñada para estabilidad y compatibilidad en suspensión.;ID-6;CALIDAD - ID.2025.23 FOLICAT Zn Mo Mn MUESTRA ORIGINAL (F-ORIGI);11/03/2025;OK NO LIBERADO;ACIDO CITRICO MONOHIDRATADO;0,4;"EDTA Zn mínimo; incompatibilidades al mezclar EDTA y sulfato con formación de precipitado blanco, no liberado.";FOLICAT ZNMO - MN;ID-74 || CALIDAD - ID.2025.41 FOLICAT Zn Mo Mn ORIGI F5;La formulación final ha logrado una solución líquida estable con el equilibrio previsto de zinc, molibdeno y manganeso. El ajuste del EDTA permitió mantener el Zn soluble y asegurar el nivel de nitrógeno dentro del rango de diseño. El producto cumple plenamente los criterios de calidad y comportamiento en estabilidad.;;;;;;;;
FOLICAT ZNMO - MN;Formulación nutricional con microelementos (Zn-Mo-Mn) quelados, diseñada para estabilidad y compatibilidad en suspensión.;ID-6;CALIDAD - ID.2025.23 FOLICAT Zn Mo Mn MUESTRA ORIGINAL (F-ORIGI);11/03/2025;OK NO LIBERADO;SECOFIT;20,1;"EDTA Zn mínimo; incompatibilidades al mezclar EDTA y sulfato con formación de precipitado blanco, no liberado.";FOLICAT ZNMO - MN;ID-74 || CALIDAD - ID.2025.41 FOLICAT Zn Mo Mn ORIGI F5;La formulación final ha logrado una solución líquida estable con el equilibrio previsto de zinc, molibdeno y manganeso. El ajuste del EDTA permitió mantener el Zn soluble y asegurar el nivel de nitrógeno dentro del rango de diseño. El producto cumple plenamente los criterios de calidad y comportamiento en estabilidad.;;;;;;;;
